per_gop,per_dem,per_third_party,County_with_State,Date,Series_Complete_Pop_Pct,Metro_status,PCTPOVALL_2021,MEDHHINC_2021,WA,BA,IA,AAPI,MEDIAN_AGE_TOT,through_hs,college_up,target
75.6,22.9,1.5,"Carroll County, OH",05/10/2023,45.3,1,13,56287,97.0,0.8,0.4,0.4,45.6,58.15,41.85,0
73.0,25.3,1.6,"Champaign County, OH",05/10/2023,47.1,0,10,64876,94.5,2.1,0.5,0.5,41.8,53.49,46.51,0
60.8,37.5,1.7,"Clark County, OH",05/10/2023,54.4,1,16,59077,86.2,9.2,0.4,0.8,41.3,48.83,51.17,0
67.5,30.9,1.6,"Clermont County, OH",05/10/2023,59.2,1,9,70789,94.4,2.0,0.2,1.5,40.9,41.31,58.69,0
75.5,22.9,1.7,"Clinton County, OH",05/10/2023,50.9,0,12,62999,94.1,2.2,0.4,0.7,40.5,46.88,53.12,0
71.7,26.8,1.6,"Columbiana County, OH",05/10/2023,51.0,0,16,51019,94.9,2.6,0.3,0.4,44.3,55.62,44.38,0
73.6,24.6,1.7,"Coshocton County, OH",05/10/2023,40.4,0,13,50135,96.2,1.2,0.4,0.5,41.2,58.29,41.71,0
74.6,23.8,1.6,"Crawford County, OH",05/10/2023,46.5,0,13,50656,96.2,1.3,0.3,0.9,43.2,56.21,43.79,0
32.4,66.5,1.1,"Cuyahoga County, OH",05/10/2023,68.1,1,16,55250,63.1,30.5,0.3,3.6,40.5,36.62,63.38,0
81.1,17.4,1.5,"Darke County, OH",05/10/2023,41.2,0,10,59456,96.9,0.8,0.3,0.6,41.8,54.72,45.28,0
67.3,30.9,1.9,"Defiance County, OH",05/10/2023,50.8,0,10,66697,94.9,2.2,0.6,0.6,40.8,48.13,51.87,0
52.6,45.8,1.6,"Delaware County, OH",05/10/2023,78.6,1,4,118661,83.8,4.6,0.2,9.0,40.0,19.0,81.0,1
54.9,43.4,1.7,"Erie County, OH",05/10/2023,60.9,0,12,59226,86.1,9.0,0.4,0.9,45.0,43.58,56.42,0
61.0,37.5,1.5,"Fairfield County, OH",05/10/2023,60.4,1,8,80245,84.0,10.3,0.3,2.9,39.6,38.94,61.06,0
75.1,23.6,1.3,"Fayette County, OH",05/10/2023,45.8,0,16,58020,93.3,2.5,0.3,1.3,40.4,61.14,38.86,0
33.5,64.9,1.6,"Franklin County, OH",05/10/2023,67.2,1,14,66056,65.1,24.9,0.3,6.0,34.9,32.54,67.46,0
69.1,29.3,1.6,"Fulton County, OH",05/10/2023,54.2,1,8,68985,96.2,1.0,0.5,0.6,41.7,49.26,50.74,0
77.1,21.7,1.2,"Gallia County, OH",05/10/2023,48.3,0,18,49575,94.2,2.3,0.5,1.0,41.1,55.43,44.57,0
